# Command: bloaty -c suit.bloaty -d sections,suit,symbols -n 0 -s vm ../../2020-clemens-vera/Results/bin/mqttsn-wpan/suit_update.elf -- ../../2020-clemens-vera/Results/bin/coap-wpan/suit_update.elf

    FILE SIZE        VM SIZE    
 --------------  -------------- 
  [ = ]       0  +6.5% +1.21Ki    .bss
    [ = ]       0  [NEW] +1.22Ki    mqttsn
      [DEL]     -23  [ = ]       0    _prefix.9845
      [NEW]     +19  [ = ]       0    _pub_device_status
      [DEL]     -27  [ = ]       0    _riot_board_handler
      [DEL]     -14  [ = ]       0    _slot_handler
      [NEW]      +5  [ = ]       0    _sub
      [DEL]      -9  [ = ]       0    _subtree
      [DEL]     -15  [ = ]       0    _suit_coap_pid
      [DEL]     -18  [ = ]       0    _suit_coap_thread
      [NEW]     +18  [ = ]       0    _suit_mqtt_sn_pid
      [NEW]     +21  [ = ]       0    _suit_mqtt_sn_thread
      [DEL]     -17  [ = ]       0    _trigger_handler
      [NEW]     +13  [ = ]       0    _trigger_sub
      [NEW]     +15  [ = ]       0    _trigger_topic
      [DEL]      -5  [ = ]       0    _url
      [NEW]     +25  [ = ]       0    blockwise_transfer_state
      [NEW]      +8  [ = ]       0    cmd_con
      [NEW]      +8  [ = ]       0    cmd_sub
      [DEL]     -27  [ = ]       0    coap_resource_subtree_suit
      [DEL]     -15  [ = ]       0    coap_resources
      [DEL]     -21  [ = ]       0    coap_resources_numof
      [DEL]     -21  [ = ]       0    coap_subtree_handler
      [NEW]     +13  [ = ]       0    emcute_stack
      [NEW]     +14  [ = ]       0    emcute_thread
      [NEW]     +19  [ = ]       0    last_known_good_gw
      [DEL]     -24  [ = ]       0    suit_coap_get_blockwise
      [DEL]     -23  [ = ]       0    suit_coap_get_blockwise_url
      [DEL]     -32  [ = ]       0    suit_coap_get_blockwise_url_buf
      [DEL]     -14  [ = ]       0    suit_coap_run
      [DEL]     -18  [ = ]       0    suit_coap_trigger
      [NEW]     +14  [ = ]       0    suit_manifest
      [NEW]     +19  [ = ]       0    suit_mqtt_sn_fetch
      [NEW]     +17  [ = ]       0    suit_mqtt_sn_run
      [NEW]     +21  [ = ]       0    suit_mqtt_sn_trigger
      [DEL]     -20  [ = ]       0    suit_storage_helper
      [NEW]     +11  [ = ]       0    thread_get
      [DEL]     -16  [ = ]       0    xtimer_now_usec
    +1.0%      +8  [ = ]       0    suit
      [NEW]      +8  [ = ]       0    strrchr
  +0.5%    +208  [ = ]       0    .symtab
    +0.9%     +48  [ = ]       0    [section .symtab]
      +3.1%     +64  [ = ]       0    [section .symtab]
      [DEL]     -48  [ = ]       0    __errno
     -33.3%     -16  [ = ]       0    atoi
      [DEL]     -16  [ = ]       0    atol
      [DEL]     -16  [ = ]       0    sha1_update
      [NEW]     +48  [ = ]       0    snprintf
      +100%     +16  [ = ]       0    strncmp
      [NEW]     +16  [ = ]       0    strncpy
    +1.0%     +16  [ = ]       0    cborcose
      [NEW]     +16  [ = ]       0    __lock___sfp_recursive_mutex
      [NEW]     +16  [ = ]       0    __lock___sinit_recursive_mutex
      [NEW]     +32  [ = ]       0    _enter_container
      [DEL]     -32  [ = ]       0    _get_and_advance_int32
      [NEW]     +16  [ = ]       0    _getc_r
      [DEL]     -32  [ = ]       0    _put_bytes
    [DEL] -1.05Ki  [ = ]       0    coap
      [DEL]     -16  [ = ]       0    __lock___env_recursive_mutex
      [DEL]     -16  [ = ]       0    __lock___sfp_recursive_mutex
      [DEL]     -16  [ = ]       0    __lock___sinit_recursive_mutex
      [DEL]     -16  [ = ]       0    __srget_r
      [DEL]     -32  [ = ]       0    _decode_value
      [DEL]     -32  [ = ]       0    _encode_uint
      [DEL]     -32  [ = ]       0    _parse_option.isra.0
      [DEL]     -32  [ = ]       0    _put_delta_optlen
      [DEL]     -16  [ = ]       0    _putc_r
      [DEL]     -32  [ = ]       0    _slicer2blkopt
      [DEL]     -32  [ = ]       0    coap_block2_build_reply
      [DEL]     -32  [ = ]       0    coap_block2_init
      [DEL]     -32  [ = ]       0    coap_block_finish
      [DEL]     -16  [ = ]       0    coap_blockwise_put_bytes
      [DEL]     -48  [ = ]       0    coap_blockwise_put_char
      [DEL]     -32  [ = ]       0    coap_build_hdr
      [DEL]     -32  [ = ]       0    coap_build_reply
      [DEL]     -32  [ = ]       0    coap_find_option
      [DEL]     -32  [ = ]       0    coap_get_block
      [DEL]     -32  [ = ]       0    coap_get_blockopt
      [DEL]     -48  [ = ]       0    coap_handle_req
      [DEL]     -32  [ = ]       0    coap_iterate_option
      [DEL]     -32  [ = ]       0    coap_match_path
      [DEL]     -32  [ = ]       0    coap_opt_get_string
      [DEL]     -32  [ = ]       0    coap_opt_put_block
      [DEL]     -32  [ = ]       0    coap_opt_put_string_with_len
      [DEL]     -32  [ = ]       0    coap_opt_put_uint
      [DEL]     -32  [ = ]       0    coap_opt_put_uri_pathquery
      [DEL]     -32  [ = ]       0    coap_parse
      [DEL]     -32  [ = ]       0    coap_put_option
      [DEL]     -32  [ = ]       0    coap_reply_simple
      [DEL]     -32  [ = ]       0    coap_tree_handler
      [DEL]     -80  [ = ]       0    coap_well_known_core_default_handler
      [DEL]     -16  [ = ]       0    nanocbor_fmt_array
      [DEL]     -16  [ = ]       0    nanocoap_server
    +2.5%    +320  [ = ]       0    core
      -7.1%     -16  [ = ]       0    [section .symtab]
      [NEW]     +48  [ = ]       0    __func__.6442
      [DEL]     -48  [ = ]       0    __func__.6454
      [NEW]     +16  [ = ]       0    __lock___env_recursive_mutex
      [NEW]     +16  [ = ]       0    __srget_r
      [NEW]     +32  [ = ]       0    _thread_flags_clear_atomic.isra.0
